Feature,Lasso Coef,Elastic Coef
Outdoor Temp (°C),-0.0055305734629696145,-0.009886566895535638
Outdoor Humidity (%),0.0060205849812851354,0.010504917576892073
Wind Speed (m/s),2.1487404594584533e-05,0.005078956862716084
Water Inlet Temp (°C),0.8898305718649449,0.8907190761591431
Air Temp (°C),-0.0,-0.0
Water Flow Rate (L/s),0.0,0.0
Air Velocity (m/s),-0.00016818722489982945,-0.005344939503618777
Cooling Tower Efficiency (%),0.0,0.0014661869902940353
Cooling Capacity (kW),-0.0,-0.0
Energy Consumption (kWh),0.0,0.0012165482346066495
